Four Hops 32byte Packet RX/TX 2.4G/2.5G AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 24(52) bytes of data.
32 bytes from 192.168.200.109: icmp_seq=3 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=5 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=7 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=8 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=13 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=62.2 ms
32 bytes from 192.168.200.109: icmp_seq=15 ttl=64 time=60.3 ms
32 bytes from 192.168.200.109: icmp_seq=18 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=23 ttl=64 time=58.2 ms
32 bytes from 192.168.200.109: icmp_seq=25 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=26 ttl=64 time=60.4 ms
32 bytes from 192.168.200.109: icmp_seq=28 ttl=64 time=60.4 ms
32 bytes from 192.168.200.109: icmp_seq=31 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=32 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=33 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=35 ttl=64 time=60.0 ms
32 bytes from 192.168.200.109: icmp_seq=37 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=39 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=55.9 ms
32 bytes from 192.168.200.109: icmp_seq=45 ttl=64 time=62.8 ms
32 bytes from 192.168.200.109: icmp_seq=61 ttl=64 time=62.3 ms
32 bytes from 192.168.200.109: icmp_seq=63 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=78 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=79 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=84 ttl=64 time=59.0 ms
32 bytes from 192.168.200.109: icmp_seq=89 ttl=64 time=59.8 ms
32 bytes from 192.168.200.109: icmp_seq=90 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=93 ttl=64 time=61.4 ms
32 bytes from 192.168.200.109: icmp_seq=96 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=97 ttl=64 time=60.7 ms
32 bytes from 192.168.200.109: icmp_seq=98 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=99 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=101 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=103 ttl=64 time=64.2 ms
32 bytes from 192.168.200.109: icmp_seq=109 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=113 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=114 ttl=64 time=61.6 ms
32 bytes from 192.168.200.109: icmp_seq=120 ttl=64 time=59.8 ms
32 bytes from 192.168.200.109: icmp_seq=121 ttl=64 time=53.5 ms
32 bytes from 192.168.200.109: icmp_seq=122 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=123 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=126 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=127 ttl=64 time=55.2 ms
32 bytes from 192.168.200.109: icmp_seq=128 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=134 ttl=64 time=61.3 ms
32 bytes from 192.168.200.109: icmp_seq=138 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=141 ttl=64 time=60.7 ms
32 bytes from 192.168.200.109: icmp_seq=143 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=144 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=145 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=147 ttl=64 time=58.2 ms
32 bytes from 192.168.200.109: icmp_seq=150 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=153 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=154 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=156 ttl=64 time=62.1 ms
32 bytes from 192.168.200.109: icmp_seq=158 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=159 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=161 ttl=64 time=55.1 ms
32 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=179 ttl=64 time=60.0 ms
32 bytes from 192.168.200.109: icmp_seq=180 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=186 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=188 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=193 ttl=64 time=59.8 ms
32 bytes from 192.168.200.109: icmp_seq=196 ttl=64 time=60.0 ms
32 bytes from 192.168.200.109: icmp_seq=197 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=199 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=203 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=204 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=209 ttl=64 time=60.4 ms
32 bytes from 192.168.200.109: icmp_seq=211 ttl=64 time=61.9 ms
32 bytes from 192.168.200.109: icmp_seq=218 ttl=64 time=53.6 ms
32 bytes from 192.168.200.109: icmp_seq=219 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=221 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=228 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=231 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=232 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=240 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=244 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=249 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=250 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=251 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=252 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=254 ttl=64 time=60.7 ms
32 bytes from 192.168.200.109: icmp_seq=256 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=257 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=260 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=264 ttl=64 time=61.2 ms
32 bytes from 192.168.200.109: icmp_seq=265 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=271 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=278 ttl=64 time=61.0 ms
32 bytes from 192.168.200.109: icmp_seq=279 ttl=64 time=57.2 ms
32 bytes from 192.168.200.109: icmp_seq=282 ttl=64 time=61.8 ms
32 bytes from 192.168.200.109: icmp_seq=283 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=284 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=285 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=286 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=287 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=292 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=293 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=296 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=297 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=300 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=304 ttl=64 time=60.7 ms
32 bytes from 192.168.200.109: icmp_seq=305 ttl=64 time=60.3 ms
32 bytes from 192.168.200.109: icmp_seq=307 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=314 ttl=64 time=61.4 ms
32 bytes from 192.168.200.109: icmp_seq=315 ttl=64 time=53.5 ms
32 bytes from 192.168.200.109: icmp_seq=316 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=323 ttl=64 time=60.5 ms
32 bytes from 192.168.200.109: icmp_seq=336 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=338 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=340 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=346 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=350 ttl=64 time=58.2 ms
32 bytes from 192.168.200.109: icmp_seq=354 ttl=64 time=59.0 ms
32 bytes from 192.168.200.109: icmp_seq=356 ttl=64 time=57.1 ms
32 bytes from 192.168.200.109: icmp_seq=357 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=363 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=366 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=367 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=370 ttl=64 time=58.0 ms
32 bytes from 192.168.200.109: icmp_seq=374 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=378 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=382 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=387 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=391 ttl=64 time=59.3 ms
