Four Hops TTL 255 RX/TX 2.4G/2.5G AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 56(84) bytes of data.
64 bytes from 192.168.200.109: icmp_seq=7 ttl=64 time=64.5 ms
64 bytes from 192.168.200.109: icmp_seq=38 ttl=64 time=64.0 ms
64 bytes from 192.168.200.109: icmp_seq=40 ttl=64 time=67.2 ms
64 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=64.5 ms
64 bytes from 192.168.200.109: icmp_seq=50 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=61 ttl=64 time=67.1 ms
64 bytes from 192.168.200.109: icmp_seq=62 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=63 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=64 ttl=64 time=67.4 ms
64 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=66.1 ms
64 bytes from 192.168.200.109: icmp_seq=70 ttl=64 time=68.4 ms
64 bytes from 192.168.200.109: icmp_seq=75 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=82 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=83 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=84 ttl=64 time=64.1 ms
64 bytes from 192.168.200.109: icmp_seq=86 ttl=64 time=66.9 ms
64 bytes from 192.168.200.109: icmp_seq=97 ttl=64 time=64.0 ms
64 bytes from 192.168.200.109: icmp_seq=98 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=111 ttl=64 time=70.4 ms
64 bytes from 192.168.200.109: icmp_seq=114 ttl=64 time=64.5 ms
64 bytes from 192.168.200.109: icmp_seq=117 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=126 ttl=64 time=63.7 ms
64 bytes from 192.168.200.109: icmp_seq=135 ttl=64 time=67.1 ms
64 bytes from 192.168.200.109: icmp_seq=137 ttl=64 time=62.1 ms
64 bytes from 192.168.200.109: icmp_seq=143 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=145 ttl=64 time=62.2 ms
64 bytes from 192.168.200.109: icmp_seq=147 ttl=64 time=63.1 ms
64 bytes from 192.168.200.109: icmp_seq=154 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=155 ttl=64 time=65.4 ms
64 bytes from 192.168.200.109: icmp_seq=156 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=63.7 ms
64 bytes from 192.168.200.109: icmp_seq=166 ttl=64 time=67.3 ms
64 bytes from 192.168.200.109: icmp_seq=168 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=169 ttl=64 time=64.4 ms
64 bytes from 192.168.200.109: icmp_seq=172 ttl=64 time=63.0 ms
64 bytes from 192.168.200.109: icmp_seq=175 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=185 ttl=64 time=65.1 ms
64 bytes from 192.168.200.109: icmp_seq=187 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=190 ttl=64 time=63.7 ms
64 bytes from 192.168.200.109: icmp_seq=194 ttl=64 time=64.4 ms
64 bytes from 192.168.200.109: icmp_seq=197 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=205 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=207 ttl=64 time=64.3 ms
