Four Hops 32byte Packet RX/TX 915/902 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 24(52) bytes of data.
32 bytes from 192.168.200.109: icmp_seq=2 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=3 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=4 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=9 ttl=64 time=340 ms
32 bytes from 192.168.200.109: icmp_seq=13 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=19 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=24 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=25 ttl=64 time=55.2 ms
32 bytes from 192.168.200.109: icmp_seq=28 ttl=64 time=62.5 ms
32 bytes from 192.168.200.109: icmp_seq=29 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=38 ttl=64 time=61.9 ms
32 bytes from 192.168.200.109: icmp_seq=39 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=45 ttl=64 time=60.9 ms
32 bytes from 192.168.200.109: icmp_seq=50 ttl=64 time=52.9 ms
32 bytes from 192.168.200.109: icmp_seq=51 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=53 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=54 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=55 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=57 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=63 ttl=64 time=60.2 ms
32 bytes from 192.168.200.109: icmp_seq=64 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=66 ttl=64 time=53.1 ms
32 bytes from 192.168.200.109: icmp_seq=68 ttl=64 time=60.6 ms
32 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=54.0 ms
32 bytes from 192.168.200.109: icmp_seq=70 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=71 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=73 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=74 ttl=64 time=58.9 ms
32 bytes from 192.168.200.109: icmp_seq=75 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=76 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=77 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=78 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=79 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=80 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=87 ttl=64 time=59.7 ms
