Three Hops TTL 128 Packet RX/TX 915/902 AVG Gain 47 
PING 192.168.200.102 (192.168.200.102) 56(84) bytes of data.
64 bytes from 192.168.200.102: icmp_seq=1 ttl=64 time=51.3 ms
64 bytes from 192.168.200.102: icmp_seq=3 ttl=64 time=51.7 ms
64 bytes from 192.168.200.102: icmp_seq=4 ttl=64 time=49.3 ms
64 bytes from 192.168.200.102: icmp_seq=6 ttl=64 time=49.2 ms
64 bytes from 192.168.200.102: icmp_seq=8 ttl=64 time=51.8 ms
64 bytes from 192.168.200.102: icmp_seq=9 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=10 ttl=64 time=49.2 ms
64 bytes from 192.168.200.102: icmp_seq=11 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=12 ttl=64 time=53.5 ms
64 bytes from 192.168.200.102: icmp_seq=15 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=18 ttl=64 time=48.0 ms
64 bytes from 192.168.200.102: icmp_seq=19 ttl=64 time=49.1 ms
64 bytes from 192.168.200.102: icmp_seq=21 ttl=64 time=49.0 ms
64 bytes from 192.168.200.102: icmp_seq=22 ttl=64 time=47.6 ms
64 bytes from 192.168.200.102: icmp_seq=24 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=25 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=26 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=27 ttl=64 time=48.1 ms
64 bytes from 192.168.200.102: icmp_seq=28 ttl=64 time=50.2 ms
64 bytes from 192.168.200.102: icmp_seq=30 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=31 ttl=64 time=49.4 ms
64 bytes from 192.168.200.102: icmp_seq=32 ttl=64 time=49.3 ms
64 bytes from 192.168.200.102: icmp_seq=33 ttl=64 time=49.8 ms
64 bytes from 192.168.200.102: icmp_seq=38 ttl=64 time=52.3 ms
64 bytes from 192.168.200.102: icmp_seq=41 ttl=64 time=51.5 ms
64 bytes from 192.168.200.102: icmp_seq=42 ttl=64 time=48.9 ms
64 bytes from 192.168.200.102: icmp_seq=43 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=45 ttl=64 time=51.7 ms
64 bytes from 192.168.200.102: icmp_seq=46 ttl=64 time=45.5 ms
64 bytes from 192.168.200.102: icmp_seq=47 ttl=64 time=54.2 ms
64 bytes from 192.168.200.102: icmp_seq=48 ttl=64 time=45.4 ms
64 bytes from 192.168.200.102: icmp_seq=49 ttl=64 time=54.0 ms
64 bytes from 192.168.200.102: icmp_seq=50 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=53 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=54 ttl=64 time=47.5 ms
64 bytes from 192.168.200.102: icmp_seq=55 ttl=64 time=47.5 ms
64 bytes from 192.168.200.102: icmp_seq=56 ttl=64 time=51.3 ms
64 bytes from 192.168.200.102: icmp_seq=58 ttl=64 time=52.4 ms
64 bytes from 192.168.200.102: icmp_seq=59 ttl=64 time=50.9 ms
64 bytes from 192.168.200.102: icmp_seq=61 ttl=64 time=47.1 ms
64 bytes from 192.168.200.102: icmp_seq=62 ttl=64 time=51.8 ms
64 bytes from 192.168.200.102: icmp_seq=64 ttl=64 time=52.2 ms
64 bytes from 192.168.200.102: icmp_seq=66 ttl=64 time=47.5 ms
64 bytes from 192.168.200.102: icmp_seq=67 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=68 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=69 ttl=64 time=51.2 ms
64 bytes from 192.168.200.102: icmp_seq=70 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=71 ttl=64 time=47.4 ms
64 bytes from 192.168.200.102: icmp_seq=72 ttl=64 time=51.5 ms
64 bytes from 192.168.200.102: icmp_seq=73 ttl=64 time=49.9 ms
64 bytes from 192.168.200.102: icmp_seq=74 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=75 ttl=64 time=52.3 ms
64 bytes from 192.168.200.102: icmp_seq=76 ttl=64 time=53.3 ms
64 bytes from 192.168.200.102: icmp_seq=77 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=78 ttl=64 time=53.5 ms
64 bytes from 192.168.200.102: icmp_seq=79 ttl=64 time=50.0 ms
64 bytes from 192.168.200.102: icmp_seq=80 ttl=64 time=50.6 ms
64 bytes from 192.168.200.102: icmp_seq=81 ttl=64 time=50.2 ms
64 bytes from 192.168.200.102: icmp_seq=82 ttl=64 time=49.4 ms
64 bytes from 192.168.200.102: icmp_seq=83 ttl=64 time=52.7 ms
64 bytes from 192.168.200.102: icmp_seq=84 ttl=64 time=50.0 ms
64 bytes from 192.168.200.102: icmp_seq=85 ttl=64 time=50.6 ms
64 bytes from 192.168.200.102: icmp_seq=87 ttl=64 time=52.7 ms
64 bytes from 192.168.200.102: icmp_seq=88 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=89 ttl=64 time=52.5 ms
64 bytes from 192.168.200.102: icmp_seq=92 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=95 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=96 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=99 ttl=64 time=48.1 ms
64 bytes from 192.168.200.102: icmp_seq=100 ttl=64 time=49.3 ms
64 bytes from 192.168.200.102: icmp_seq=101 ttl=64 time=51.5 ms
64 bytes from 192.168.200.102: icmp_seq=102 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=103 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=106 ttl=64 time=51.2 ms
64 bytes from 192.168.200.102: icmp_seq=107 ttl=64 time=49.8 ms
64 bytes from 192.168.200.102: icmp_seq=110 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=112 ttl=64 time=48.8 ms
64 bytes from 192.168.200.102: icmp_seq=117 ttl=64 time=50.7 ms
64 bytes from 192.168.200.102: icmp_seq=119 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=120 ttl=64 time=52.8 ms
64 bytes from 192.168.200.102: icmp_seq=121 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=122 ttl=64 time=51.1 ms
64 bytes from 192.168.200.102: icmp_seq=125 ttl=64 time=49.9 ms
64 bytes from 192.168.200.102: icmp_seq=131 ttl=64 time=48.1 ms
64 bytes from 192.168.200.102: icmp_seq=132 ttl=64 time=52.4 ms
64 bytes from 192.168.200.102: icmp_seq=133 ttl=64 time=50.7 ms
64 bytes from 192.168.200.102: icmp_seq=134 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=135 ttl=64 time=50.6 ms
64 bytes from 192.168.200.102: icmp_seq=136 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=137 ttl=64 time=50.5 ms
64 bytes from 192.168.200.102: icmp_seq=138 ttl=64 time=53.9 ms
64 bytes from 192.168.200.102: icmp_seq=139 ttl=64 time=49.8 ms
64 bytes from 192.168.200.102: icmp_seq=140 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=141 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=142 ttl=64 time=51.5 ms
