Four Hops TTL 128 RX/TX 915/902 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 56(84) bytes of data.
64 bytes from 192.168.200.109: icmp_seq=1 ttl=64 time=64.5 ms
64 bytes from 192.168.200.109: icmp_seq=4 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=9 ttl=64 time=107 ms
64 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=65.4 ms
64 bytes from 192.168.200.109: icmp_seq=18 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=19 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=20 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=32 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=33 ttl=64 time=67.4 ms
64 bytes from 192.168.200.109: icmp_seq=34 ttl=64 time=67.8 ms
64 bytes from 192.168.200.109: icmp_seq=38 ttl=64 time=68.0 ms
64 bytes from 192.168.200.109: icmp_seq=39 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=46 ttl=64 time=66.8 ms
64 bytes from 192.168.200.109: icmp_seq=57 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=63 ttl=64 time=68.1 ms
64 bytes from 192.168.200.109: icmp_seq=67 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=67.9 ms
64 bytes from 192.168.200.109: icmp_seq=70 ttl=64 time=66.4 ms
64 bytes from 192.168.200.109: icmp_seq=71 ttl=64 time=70.6 ms
64 bytes from 192.168.200.109: icmp_seq=73 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=74 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=75 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=76 ttl=64 time=70.5 ms
64 bytes from 192.168.200.109: icmp_seq=79 ttl=64 time=66.1 ms
64 bytes from 192.168.200.109: icmp_seq=80 ttl=64 time=64.4 ms
64 bytes from 192.168.200.109: icmp_seq=81 ttl=64 time=64.9 ms
64 bytes from 192.168.200.109: icmp_seq=82 ttl=64 time=67.3 ms
64 bytes from 192.168.200.109: icmp_seq=83 ttl=64 time=65.5 ms
64 bytes from 192.168.200.109: icmp_seq=84 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=85 ttl=64 time=69.8 ms
64 bytes from 192.168.200.109: icmp_seq=87 ttl=64 time=67.2 ms
64 bytes from 192.168.200.109: icmp_seq=89 ttl=64 time=64.4 ms
