PING 192.168.200.109 (192.168.200.109) 56(84) bytes of data.
64 bytes from 192.168.200.109: icmp_seq=2 ttl=64 time=16.2 ms
64 bytes from 192.168.200.109: icmp_seq=4 ttl=64 time=13.3 ms
64 bytes from 192.168.200.109: icmp_seq=5 ttl=64 time=16.0 ms
64 bytes from 192.168.200.109: icmp_seq=6 ttl=64 time=14.6 ms
64 bytes from 192.168.200.109: icmp_seq=7 ttl=64 time=14.9 ms
64 bytes from 192.168.200.109: icmp_seq=8 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=9 ttl=64 time=15.1 ms
64 bytes from 192.168.200.109: icmp_seq=11 ttl=64 time=16.0 ms
64 bytes from 192.168.200.109: icmp_seq=13 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=19 ttl=64 time=15.8 ms
64 bytes from 192.168.200.109: icmp_seq=20 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=21 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=25 ttl=64 time=17.0 ms
64 bytes from 192.168.200.109: icmp_seq=26 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=28 ttl=64 time=15.9 ms
64 bytes from 192.168.200.109: icmp_seq=29 ttl=64 time=18.1 ms
64 bytes from 192.168.200.109: icmp_seq=31 ttl=64 time=12.5 ms
64 bytes from 192.168.200.109: icmp_seq=32 ttl=64 time=15.0 ms
64 bytes from 192.168.200.109: icmp_seq=33 ttl=64 time=14.5 ms
64 bytes from 192.168.200.109: icmp_seq=34 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=35 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=36 ttl=64 time=16.4 ms
64 bytes from 192.168.200.109: icmp_seq=40 ttl=64 time=14.8 ms
64 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=16.6 ms
64 bytes from 192.168.200.109: icmp_seq=43 ttl=64 time=13.7 ms
64 bytes from 192.168.200.109: icmp_seq=44 ttl=64 time=16.1 ms
64 bytes from 192.168.200.109: icmp_seq=45 ttl=64 time=12.6 ms
64 bytes from 192.168.200.109: icmp_seq=47 ttl=64 time=16.0 ms
64 bytes from 192.168.200.109: icmp_seq=48 ttl=64 time=14.1 ms
64 bytes from 192.168.200.109: icmp_seq=49 ttl=64 time=12.8 ms
64 bytes from 192.168.200.109: icmp_seq=51 ttl=64 time=16.3 ms
64 bytes from 192.168.200.109: icmp_seq=52 ttl=64 time=12.6 ms
64 bytes from 192.168.200.109: icmp_seq=53 ttl=64 time=17.3 ms
64 bytes from 192.168.200.109: icmp_seq=54 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=57 ttl=64 time=16.2 ms
64 bytes from 192.168.200.109: icmp_seq=58 ttl=64 time=13.9 ms
64 bytes from 192.168.200.109: icmp_seq=59 ttl=64 time=12.5 ms
64 bytes from 192.168.200.109: icmp_seq=60 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=61 ttl=64 time=15.8 ms
64 bytes from 192.168.200.109: icmp_seq=62 ttl=64 time=16.1 ms
64 bytes from 192.168.200.109: icmp_seq=63 ttl=64 time=14.5 ms
64 bytes from 192.168.200.109: icmp_seq=64 ttl=64 time=16.2 ms
64 bytes from 192.168.200.109: icmp_seq=65 ttl=64 time=17.4 ms
64 bytes from 192.168.200.109: icmp_seq=66 ttl=64 time=13.9 ms
64 bytes from 192.168.200.109: icmp_seq=68 ttl=64 time=12.9 ms
64 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=15.2 ms
64 bytes from 192.168.200.109: icmp_seq=70 ttl=64 time=13.4 ms
64 bytes from 192.168.200.109: icmp_seq=71 ttl=64 time=14.1 ms
64 bytes from 192.168.200.109: icmp_seq=72 ttl=64 time=13.3 ms
64 bytes from 192.168.200.109: icmp_seq=73 ttl=64 time=16.6 ms
64 bytes from 192.168.200.109: icmp_seq=74 ttl=64 time=12.6 ms
64 bytes from 192.168.200.109: icmp_seq=75 ttl=64 time=17.4 ms
64 bytes from 192.168.200.109: icmp_seq=77 ttl=64 time=13.4 ms
64 bytes from 192.168.200.109: icmp_seq=78 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=79 ttl=64 time=16.3 ms
64 bytes from 192.168.200.109: icmp_seq=82 ttl=64 time=16.7 ms
64 bytes from 192.168.200.109: icmp_seq=83 ttl=64 time=13.6 ms
64 bytes from 192.168.200.109: icmp_seq=86 ttl=64 time=15.1 ms
64 bytes from 192.168.200.109: icmp_seq=87 ttl=64 time=13.8 ms
64 bytes from 192.168.200.109: icmp_seq=88 ttl=64 time=16.4 ms
64 bytes from 192.168.200.109: icmp_seq=89 ttl=64 time=14.7 ms
64 bytes from 192.168.200.109: icmp_seq=91 ttl=64 time=14.8 ms
64 bytes from 192.168.200.109: icmp_seq=92 ttl=64 time=12.5 ms
64 bytes from 192.168.200.109: icmp_seq=94 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=95 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=96 ttl=64 time=15.4 ms
64 bytes from 192.168.200.109: icmp_seq=97 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=98 ttl=64 time=15.4 ms
64 bytes from 192.168.200.109: icmp_seq=99 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=102 ttl=64 time=16.5 ms
64 bytes from 192.168.200.109: icmp_seq=103 ttl=64 time=17.2 ms
64 bytes from 192.168.200.109: icmp_seq=104 ttl=64 time=15.1 ms
64 bytes from 192.168.200.109: icmp_seq=105 ttl=64 time=13.5 ms
64 bytes from 192.168.200.109: icmp_seq=106 ttl=64 time=13.5 ms
64 bytes from 192.168.200.109: icmp_seq=108 ttl=64 time=13.7 ms
64 bytes from 192.168.200.109: icmp_seq=109 ttl=64 time=12.3 ms
64 bytes from 192.168.200.109: icmp_seq=110 ttl=64 time=15.6 ms
64 bytes from 192.168.200.109: icmp_seq=111 ttl=64 time=15.8 ms
64 bytes from 192.168.200.109: icmp_seq=112 ttl=64 time=14.5 ms
64 bytes from 192.168.200.109: icmp_seq=114 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=115 ttl=64 time=15.6 ms
64 bytes from 192.168.200.109: icmp_seq=116 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=117 ttl=64 time=13.1 ms
64 bytes from 192.168.200.109: icmp_seq=118 ttl=64 time=17.8 ms
64 bytes from 192.168.200.109: icmp_seq=119 ttl=64 time=16.4 ms
64 bytes from 192.168.200.109: icmp_seq=120 ttl=64 time=15.1 ms
64 bytes from 192.168.200.109: icmp_seq=121 ttl=64 time=15.9 ms
64 bytes from 192.168.200.109: icmp_seq=122 ttl=64 time=12.4 ms
64 bytes from 192.168.200.109: icmp_seq=123 ttl=64 time=17.1 ms
64 bytes from 192.168.200.109: icmp_seq=124 ttl=64 time=15.1 ms
64 bytes from 192.168.200.109: icmp_seq=125 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=127 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=128 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=131 ttl=64 time=16.7 ms
64 bytes from 192.168.200.109: icmp_seq=132 ttl=64 time=14.8 ms
64 bytes from 192.168.200.109: icmp_seq=133 ttl=64 time=17.3 ms
64 bytes from 192.168.200.109: icmp_seq=134 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=135 ttl=64 time=15.8 ms
64 bytes from 192.168.200.109: icmp_seq=137 ttl=64 time=13.7 ms
64 bytes from 192.168.200.109: icmp_seq=140 ttl=64 time=16.4 ms
64 bytes from 192.168.200.109: icmp_seq=141 ttl=64 time=17.3 ms
64 bytes from 192.168.200.109: icmp_seq=144 ttl=64 time=16.9 ms
64 bytes from 192.168.200.109: icmp_seq=145 ttl=64 time=13.3 ms
64 bytes from 192.168.200.109: icmp_seq=148 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=150 ttl=64 time=12.0 ms
64 bytes from 192.168.200.109: icmp_seq=151 ttl=64 time=13.2 ms
64 bytes from 192.168.200.109: icmp_seq=152 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=153 ttl=64 time=14.2 ms
64 bytes from 192.168.200.109: icmp_seq=155 ttl=64 time=16.5 ms
64 bytes from 192.168.200.109: icmp_seq=156 ttl=64 time=12.9 ms
64 bytes from 192.168.200.109: icmp_seq=161 ttl=64 time=27.7 ms
64 bytes from 192.168.200.109: icmp_seq=162 ttl=64 time=15.5 ms
64 bytes from 192.168.200.109: icmp_seq=163 ttl=64 time=16.1 ms
64 bytes from 192.168.200.109: icmp_seq=164 ttl=64 time=12.8 ms
64 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=15.0 ms
64 bytes from 192.168.200.109: icmp_seq=167 ttl=64 time=16.7 ms
64 bytes from 192.168.200.109: icmp_seq=168 ttl=64 time=17.8 ms
64 bytes from 192.168.200.109: icmp_seq=171 ttl=64 time=15.0 ms
64 bytes from 192.168.200.109: icmp_seq=174 ttl=64 time=16.0 ms
64 bytes from 192.168.200.109: icmp_seq=177 ttl=64 time=15.0 ms
64 bytes from 192.168.200.109: icmp_seq=179 ttl=64 time=16.2 ms
64 bytes from 192.168.200.109: icmp_seq=181 ttl=64 time=15.3 ms
64 bytes from 192.168.200.109: icmp_seq=182 ttl=64 time=15.7 ms
64 bytes from 192.168.200.109: icmp_seq=183 ttl=64 time=16.2 ms
