Four Hops 32byte Packet RX/TX 915/928 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 24(52) bytes of data.
32 bytes from 192.168.200.109: icmp_seq=3 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=5 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=6 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=15 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=17 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=18 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=19 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=20 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=21 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=23 ttl=64 time=60.1 ms
32 bytes from 192.168.200.109: icmp_seq=24 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=25 ttl=64 time=59.8 ms
32 bytes from 192.168.200.109: icmp_seq=26 ttl=64 time=55.2 ms
32 bytes from 192.168.200.109: icmp_seq=27 ttl=64 time=61.8 ms
32 bytes from 192.168.200.109: icmp_seq=29 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=31 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=35 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=39 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=44 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=45 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=47 ttl=64 time=61.2 ms
32 bytes from 192.168.200.109: icmp_seq=48 ttl=64 time=60.4 ms
32 bytes from 192.168.200.109: icmp_seq=50 ttl=64 time=61.8 ms
32 bytes from 192.168.200.109: icmp_seq=52 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=53 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=54 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=55 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=56 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=57 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=59 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=60 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=61 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=62 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=68 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=70 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=72 ttl=64 time=59.6 ms
